englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Bunnahabhain 1987 Wy Single Cask Release,布納哈本 1987 WM威姆斯 單桶 #2675,Bunnahabhain,Wemyss Malts,1987,30,0.623,700,雪莉,2675,466,,13000,,,台灣限定/人生酒肆,2019/3/13,,,2019/3/22
Bunnahabhain 1991 DT Dimensions,布納哈本 1991 鄧肯泰勒 20年 雪莉原酒,Bunnahabhain,Duncan Taylor,1991,20,0.527,700,雪莉,5342,670,85.25,5000,,,,2019/3/8,,,2019/3/14
Bunnahabhain 1997 Palo Cortado Finish 20 Year Old,布納哈本 1997 Palo Cortado 20年,Bunnahabhain,官方,1997,20,0.549,700,Palo Cortado 雪莉,,1620,91.08,10800,284,,FB私價,2019/2/4,2019/3/4,,2019/3/23
Bunnahabhain 1998 AD Selection,布納哈本 1998 艾德菲選桶,Bunnahabhain,Adelphi,1998,13,0.552,700,前雪莉 Butts,6039,629,89.56,5000,75,,台灣限定,2018/1/8,,,2019/3/7
Bunnahabhain 2008 SMWS 9 Year Old 10.162,布納哈本 2008 SMWS 9年 10.162,Bunnahabhain,Scotch Malt Whisky Society,2008,9,0.614,700,"前 Oloroso 雪莉(一次填充), 豬頭",10.162,277,87,,,,,,,,2019/2/27
Bunnahabhain 25-year-old Small Batch Distilled,布納哈本 25年 Small Batch Distilled 2017,Bunnahabhain,官方,,25,0.463,700,,,,89.21,10000,,,FB非木盒/FB私價/2017裝瓶,2019/2/24,,,2019/3/23
Bunnahabhain Mine Oloroso,布納哈本 Moine,Bunnahabhain,官方,,,0.601,700,Oloroso 雪莉,,,86.81,2800,140,,,2018/8/21,2019/2/4,,2019/3/7
Bunnahabhain XXV,布納哈本 XXV 25年,Bunnahabhain,官方,,25,0.463,700,,,,89.74,8500,220,,,2019/4/4,2018/12/3,,2019/4/10
Caol Ila 1968 Gordon and MacPhail 50 Year Old / Private Collection,卡爾里拉 1968 GM 50年,Caol Ila,Gordon & MacPhail,1968,50,0.525,700,雪莉(二次充填),,199,,,"5,499.00",,建議售價7500英鎊,,2019/3/4,,2019/2/27
Caol Ila 1980 DL XOP - Xtra Old Particular,卡爾里拉 1980 XOP 36年,Caol Ila,官方,1980,36,0.574,700,豬頭(二次充填),DL 11491,172,91.2,11500,,,,2018/12/25,,,2019/3/6
Caol Ila 1980 DL XOP - Xtra Old Particular,卡爾里拉 1980 XOP 38年,Caol Ila,Douglas Laing,1980,38,0.539,700,豬頭(二次充填),,177,,,480,,,,2019/3/4,,2019/3/2
Caol Ila 1982 Artist Collection #3 30 Year Old,卡爾里拉 藝術收藏 #3 30年,Caol Ila,LMDW,1982,30,0.544,700,波本 Barrel,6488,228,91.3,,265,,,,2019/3/4,,2019/3/2
Chichibu 2008 Whisky Live Tokyo,秩父 2008 Whisky Live Tokyo,Chichibu,官方,2008,,0.618,700,波本,123,238,82.43,11588,585,,,2018/11/30,2018/4/2,,2019/3/7
Chichibu 2009,秩父 2009 帆船,Chichibu,官方,2009,,0.616,700,,640,214,,35000,575,,,2018/11/10,2018/3/5,,2019/3/7
Chichibu 2009 Japan Warrior Series - Number One,秩父 2009 日本武士 #2369,Chichibu,官方,2009,,0.619,700,雪莉 Puncheon & 法國白酒熟成,2369,265,91.07,85300,"1,550.00",,FB含木盒*1 紙盒*1/德國限定,2019/4/22,2019/3/4,,2019/4/23
Chichibu 2009 Whisky Live Tokyo,秩父 2009 Whisky Live Tokyo,Chichibu,官方,2009,1,0.62,700,豬頭(二次充填),496,318,62,11200,430,,2011裝瓶,2018/11/30,2018/4/2,,2019/3/7
